glm,lda,qda,bs,forest,svm,nb,NA.,data,ncases,npreds
0.7169472503,0.7241301908,0.7086419753,0.7409652076,0.7512906846,0.6962962963,0.7789001122,NA,11,480,9
0.7325456498,0.7273899033,0.6990332975,0.759613319,0.7656283566,0.2794844253,0.6928034372,NA,11,480,9
0.7695950746,0.7724366564,0.7759886337,0.7205777883,0.7909069382,0.2344304996,0.7880653564,NA,11,480,9
0.7009090909,0.7025,0.6959090909,0.64,0.7327272727,0.7006818182,0.7220454545,NA,11,480,9
0.742778832,0.7463630614,0.752055661,0.6961838499,0.8264811301,0.2249631035,0.7588024457,NA,11,480,9
0.9049343066,0.9007201946,0.8251776156,0.9216350365,0.9589294404,0.9166715328,0.8604282238,NA,12,2201,14
0.9099043758,0.9009152896,0.8452607654,0.9269508774,0.954737187,0.9208694228,0.8724225485,NA,12,2201,14
0.918980632,0.9151987768,0.8545463812,0.9309683996,0.9648827727,0.06678899083,0.8912028542,NA,12,2201,14
0.9210322427,0.919353557,0.8550668494,0.9476428869,0.9629298528,0.9337366152,0.8835647734,NA,12,2201,14
0.921791606,0.9198305839,0.8598071325,0.9401079573,0.9572517386,0.06875707585,0.8892527899,NA,12,2201,14
0.9144974806,0.9043362813,0.8364172364,0.937820151,0.9572226055,0.9225574442,0.8589035941,NA,12,2201,14
0.9229086933,0.9188764352,0.8562153402,0.9503924861,0.9675661954,0.06716199328,0.8906311021,NA,12,2201,14
0.9168267939,0.9109898965,0.8299448336,0.9480361164,0.9659497097,0.0705283167,0.8728382818,NA,12,2201,14
0.914131107,0.9128324057,0.8481447124,0.9125025768,0.9502370645,0.9253762111,0.8742011956,NA,12,2201,14
0.9109855745,0.9123675981,0.8416624634,0.9355593665,0.9626651871,0.9315646121,0.8839402804,NA,12,2201,14
0.9067865057,0.9037836271,0.8422039058,0.9354381096,0.953217222,0.08397705387,0.8819765154,NA,12,2201,14
0.9213555115,0.916491523,0.8407293981,0.9329950559,0.9625993315,0.9304229468,0.8835044737,NA,12,2201,14
0.9178450586,0.9123687144,0.8559232529,0.9335210937,0.9573431908,0.9323769289,0.8894267441,NA,12,2201,14
0.9045955736,0.9008438819,0.8422995781,0.9417741422,0.9568704721,0.9251950482,0.8677254996,NA,12,2201,14
0.9217176162,0.9120166637,0.8331475288,0.9217469538,0.9565608559,0.9301374954,0.8753055996,NA,12,2201,14
0.9180499164,0.9091234774,0.8361296871,0.9201695725,0.9490884484,0.9224185972,0.8756866492,NA,12,2201,14
0.9107234269,0.9102831869,0.8506153122,0.9325920921,0.9594774454,0.9140815365,0.8734258861,NA,12,2201,14
0.9153203119,0.9034141146,0.8352322964,0.9319588458,0.9543344586,0.9250964553,0.8651635721,NA,12,2201,14
0.9253740323,0.9234186354,0.837010148,0.9266074365,0.9633287875,0.0618306526,0.8830070996,NA,12,2201,14
0.9043568465,0.8942600277,0.8427188303,0.9286998617,0.9564512942,0.08093262201,0.8739379569,NA,12,2201,14
1,1,1,1,1,1,0.9997986028,NA,13,18185,11
1,1,1,1,1,1,0.9999074818,NA,13,18185,11
1,1,1,1,1,1,0.999727687,NA,13,18185,11
1,1,0.9999998646,0.9999998646,1,0,0.9996449723,NA,13,18185,11
